Point Number , Temperature ,Uncertainty
0,55.448819,0.063096707
1,55.149629,0.062755036
2,55.13203,0.062734939
3,55.167229,0.062775135
4,55.484018,0.063136904
5,55.149629,0.062755036
6,55.572015,0.063237395
7,55.202427,0.062815331
8,55.184828,0.062795233
9,55.184828,0.062795233
10,55.501617,0.063157002
11,55.202427,0.062815331
12,55.167229,0.062775135
13,55.184828,0.062795233
14,55.237626,0.062855528
15,55.554415,0.063217296
16,55.554415,0.063217296
17,55.607213,0.063277591
18,55.572015,0.063237395
19,55.554415,0.063217296
20,55.202427,0.062815331
21,55.220027,0.06283543
22,55.202427,0.062815331
23,55.624813,0.06329769
24,55.536816,0.063197199
25,55.554415,0.063217296
26,55.255226,0.062875627
27,55.237626,0.062855528
28,55.272825,0.062895724
29,55.624813,0.06329769
30,55.272825,0.062895724
31,55.290424,0.062915822
32,55.255226,0.062875627
33,55.660012,0.063337887
34,55.624813,0.06329769
35,55.642412,0.063317788
36,55.308024,0.062935921
37,55.308024,0.062935921
38,55.69521,0.063378082
39,55.589614,0.063257493
40,55.624813,0.06329769
41,55.308024,0.062935921
42,55.660012,0.063337887
43,55.290424,0.062915822
44,55.343223,0.062976118
45,55.325623,0.062956019
46,55.589614,0.063257493
47,55.325623,0.062956019
48,55.308024,0.062935921
49,55.325623,0.062956019
50,55.343223,0.062976118
51,55.71281,0.063398181
52,55.325623,0.062956019
53,55.360822,0.062996216
54,55.343223,0.062976118
55,55.360822,0.062996216
56,55.69521,0.063378082
57,55.607213,0.063277591
58,55.730409,0.063418279
59,55.343223,0.062976118
60,55.624813,0.06329769
61,55.378421,0.063016314
62,55.343223,0.062976118
63,55.853605,0.063558967
64,55.360822,0.062996216
65,55.378421,0.063016314
66,55.71281,0.063398181
67,55.343223,0.062976118
68,55.536816,0.063197199
69,55.677611,0.063357985
70,55.730409,0.063418279
71,55.378421,0.063016314
72,55.360822,0.062996216
73,55.343223,0.062976118
74,55.360822,0.062996216
75,55.378421,0.063016314
76,55.677611,0.063357985
77,55.69521,0.063378082
78,55.730409,0.063418279
79,55.730409,0.063418279
80,55.677611,0.063357985
81,55.69521,0.063378082
82,55.624813,0.06329769
83,55.360822,0.062996216
84,55.572015,0.063237395
85,55.325623,0.062956019
86,55.360822,0.062996216
87,55.69521,0.063378082
88,55.69521,0.063378082
89,55.378421,0.063016314
90,55.378421,0.063016314
91,55.360822,0.062996216
92,55.748009,0.063438378
93,55.69521,0.063378082
94,55.343223,0.062976118
95,55.677611,0.063357985
96,55.343223,0.062976118
97,55.69521,0.063378082
98,55.378421,0.063016314
99,55.677611,0.063357985
100,55.660012,0.063337887
101,55.343223,0.062976118
102,55.69521,0.063378082
103,55.660012,0.063337887
104,55.343223,0.062976118
105,55.343223,0.062976118
106,55.378421,0.063016314
107,55.660012,0.063337887
108,55.343223,0.062976118
109,55.378421,0.063016314
110,55.677611,0.063357985
111,55.378421,0.063016314
112,55.360822,0.062996216
113,55.677611,0.063357985
114,55.343223,0.062976118
115,55.290424,0.062915822
116,55.308024,0.062935921
117,55.308024,0.062935921
118,55.308024,0.062935921
119,55.308024,0.062935921
120,55.677611,0.063357985
121,55.308024,0.062935921
122,55.69521,0.063378082
123,55.642412,0.063317788
124,55.607213,0.063277591
125,55.624813,0.06329769
126,55.677611,0.063357985
127,55.308024,0.062935921
128,55.677611,0.063357985
129,55.642412,0.063317788
130,55.642412,0.063317788
131,55.272825,0.062895724
132,55.290424,0.062915822
133,55.290424,0.062915822
134,55.290424,0.062915822
135,55.624813,0.06329769
136,55.607213,0.063277591
137,55.272825,0.062895724
138,55.660012,0.063337887
139,55.255226,0.062875627
140,55.272825,0.062895724
141,55.554415,0.063217296
142,55.220027,0.06283543
143,55.325623,0.062956019
144,55.237626,0.062855528
145,55.572015,0.063237395
146,55.220027,0.06283543
147,55.220027,0.06283543
148,55.572015,0.063237395
149,55.220027,0.06283543
150,55.202427,0.062815331
151,55.202427,0.062815331
152,55.519216,0.0631771
153,55.184828,0.062795233
154,55.184828,0.062795233
155,55.484018,0.063136904
156,55.149629,0.062755036
157,55.13203,0.062734939
158,55.484018,0.063136904
159,55.167229,0.062775135
160,55.13203,0.062734939
161,55.519216,0.0631771
162,55.448819,0.063096707
163,55.114431,0.062714841
164,55.501617,0.063157002
165,55.114431,0.062714841
166,55.096831,0.062694742
167,55.096831,0.062694742
168,55.41362,0.06305651
169,55.13203,0.062734939
170,55.41362,0.06305651
171,55.114431,0.062714841
172,55.079232,0.062674644
173,55.43122,0.063076609
174,55.061632,0.062654545
175,55.026434,0.062614349
176,55.044033,0.062634447
177,55.044033,0.062634447
178,55.343223,0.062976118
179,55.325623,0.062956019
180,55.008834,0.06259425
181,54.991235,0.062574153
182,55.378421,0.063016314
183,55.026434,0.062614349
184,55.360822,0.062996216
185,54.956036,0.062533956
186,54.991235,0.062574153
187,54.973635,0.062554054
188,55.308024,0.062935921
189,54.956036,0.062533956
190,55.290424,0.062915822
191,55.255226,0.062875627
192,55.290424,0.062915822
193,55.325623,0.062956019
194,55.308024,0.062935921
195,55.308024,0.062935921
196,55.220027,0.06283543
197,54.903238,0.062473661
198,55.202427,0.062815331
199,54.868039,0.062433465
200,54.85044,0.062413367
201,54.885638,0.062453562
202,55.220027,0.06283543
203,54.85044,0.062413367
204,54.83284,0.062393268
205,54.85044,0.062413367
206,55.184828,0.062795233
207,55.184828,0.062795233
208,55.149629,0.062755036
209,54.797642,0.062353072
210,55.290424,0.062915822
211,54.780042,0.062332973
212,55.167229,0.062775135
213,54.780042,0.062332973
214,55.149629,0.062755036
215,55.061632,0.062654545
216,54.762443,0.062312875
217,54.744843,0.062292776
218,54.727244,0.062272679
219,55.061632,0.062654545
220,54.991235,0.062574153
221,54.674446,0.062212384
222,55.026434,0.062614349
223,54.674446,0.062212384
224,54.903238,0.062473661
225,54.674446,0.062212384
226,54.656846,0.062192285
227,54.656846,0.062192285
228,55.026434,0.062614349
229,55.008834,0.06259425
230,54.973635,0.062554054
231,54.604048,0.062131991
232,55.008834,0.06259425
233,54.920837,0.062493759
234,54.868039,0.062433465
235,54.56885,0.062091795
236,54.903238,0.062473661
237,54.885638,0.062453562
238,54.586449,0.062111893
239,54.868039,0.062433465
240,54.55125,0.062071696
241,54.55125,0.062071696
242,54.533651,0.062051598
243,54.692045,0.062232482
244,54.815241,0.06237317
245,54.498452,0.062011402
246,54.885638,0.062453562
247,54.762443,0.062312875
248,54.480853,0.061991304
249,55.008834,0.06259425
250,54.744843,0.062292776
251,54.762443,0.062312875
252,54.762443,0.062312875
253,54.744843,0.062292776
254,54.410455,0.06191091
255,54.797642,0.062353072
256,54.727244,0.062272679
257,54.357657,0.061850616
258,54.692045,0.062232482
259,54.762443,0.062312875
260,54.692045,0.062232482
261,54.375256,0.061870714
262,54.340057,0.061830517
263,54.357657,0.061850616
264,54.357657,0.061850616
265,54.445654,0.061951107
266,54.322458,0.061810419
267,54.287259,0.061770222
268,54.287259,0.061770222
269,54.304859,0.061790321
270,54.287259,0.061770222
271,54.55125,0.062071696
272,54.252061,0.061730027
273,54.674446,0.062212384
274,54.234461,0.061709928
275,54.621648,0.06215209
276,54.216862,0.06168983
277,54.516051,0.062031499
278,54.216862,0.06168983
279,54.199262,0.061669731
280,54.181663,0.061649633
281,54.516051,0.062031499
282,54.322458,0.061810419
283,54.146464,0.061609436
284,54.146464,0.061609436
285,54.146464,0.061609436
286,54.322458,0.061810419
287,54.463253,0.061971205
288,54.093666,0.061549142
289,54.410455,0.06191091
290,54.463253,0.061971205
291,54.111265,0.06156924
292,54.445654,0.061951107
293,54.357657,0.061850616
294,54.093666,0.061549142
295,54.040868,0.061488847
296,54.410455,0.06191091
297,54.392856,0.061890812
298,54.040868,0.061488847
299,54.005669,0.061448651
300,54.392856,0.061890812
301,54.340057,0.061830517
302,54.392856,0.061890812
303,54.322458,0.061810419
304,54.357657,0.061850616
305,54.005669,0.061448651
306,54.357657,0.061850616
307,53.952871,0.061388356
308,54.340057,0.061830517
309,53.97047,0.061408454
310,53.952871,0.061388356
311,54.26966,0.061750124
312,53.917672,0.061348159
313,53.900073,0.061328062
314,53.900073,0.061328062
315,54.199262,0.061669731
316,53.882473,0.061307963
317,54.216862,0.06168983
318,53.882473,0.061307963
319,53.882473,0.061307963
320,54.146464,0.061609436
321,53.847275,0.061267767
322,54.216862,0.06168983
323,53.847275,0.061267767
324,53.847275,0.061267767
325,54.216862,0.06168983
326,53.847275,0.061267767
327,53.829675,0.061247668
328,54.181663,0.061649633
329,54.093666,0.061549142
330,53.794477,0.061207473
331,53.794477,0.061207473
332,54.164064,0.061629535
333,53.776877,0.061187374
334,54.164064,0.061629535
335,54.164064,0.061629535
336,53.724079,0.061127079
337,54.058467,0.061508945
338,54.093666,0.061549142
339,53.70648,0.061106981
340,53.741678,0.061147177
341,53.741678,0.061147177
342,54.040868,0.061488847
343,53.724079,0.061127079
344,54.040868,0.061488847
345,54.058467,0.061508945
346,53.724079,0.061127079
347,53.671281,0.061066785
348,53.671281,0.061066785
349,53.653681,0.061046686
350,53.653681,0.061046686
351,53.671281,0.061066785
352,53.671281,0.061066785
353,53.68888,0.061086883
354,53.671281,0.061066785
355,53.653681,0.061046686
356,54.058467,0.061508945
357,53.636082,0.061026588
358,53.636082,0.061026588
359,54.040868,0.061488847
360,53.636082,0.061026588
361,53.565685,0.060946196
362,53.583284,0.060966294
363,53.759278,0.061167276
364,53.600883,0.060986391
365,53.935272,0.061368258
366,53.952871,0.061388356
367,53.935272,0.061368258
368,53.600883,0.060986391
369,53.952871,0.061388356
370,53.600883,0.060986391
371,53.565685,0.060946196
372,53.759278,0.061167276
373,53.935272,0.061368258
374,53.97047,0.061408454
375,53.935272,0.061368258
376,53.583284,0.060966294
377,53.935272,0.061368258
378,53.935272,0.061368258
379,53.864874,0.061287865
380,53.935272,0.061368258
381,53.847275,0.061267767
382,53.864874,0.061287865
383,53.847275,0.061267767
384,54.093666,0.061549142
385,53.548085,0.060926097
386,53.900073,0.061328062
387,53.530486,0.060905999
388,53.917672,0.061348159
389,53.512886,0.0608859
390,53.530486,0.060905999
391,53.68888,0.061086883
392,53.530486,0.060905999
393,53.829675,0.061247668
394,53.495287,0.060865802
395,53.864874,0.061287865
396,53.495287,0.060865802
397,53.495287,0.060865802
398,53.512886,0.0608859
399,53.847275,0.061267767
400,53.530486,0.060905999
401,53.495287,0.060865802
402,53.530486,0.060905999
403,53.495287,0.060865802
404,53.794477,0.061207473
405,53.319293,0.06066482
406,53.512886,0.0608859
407,53.512886,0.0608859
408,53.477688,0.060845705
409,53.847275,0.061267767
410,53.864874,0.061287865
411,53.512886,0.0608859
412,53.512886,0.0608859
413,53.495287,0.060865802
414,53.495287,0.060865802
415,53.68888,0.061086883
416,53.477688,0.060845705
417,53.882473,0.061307963
418,53.812076,0.06122757
419,53.882473,0.061307963
420,53.477688,0.060845705
421,53.776877,0.061187374
422,53.847275,0.061267767
423,53.829675,0.061247668
424,53.512886,0.0608859
425,53.460088,0.060825606
426,53.477688,0.060845705
427,53.847275,0.061267767
428,53.512886,0.0608859
429,53.794477,0.061207473
430,53.495287,0.060865802
431,53.495287,0.060865802
432,53.495287,0.060865802
433,53.864874,0.061287865
434,53.653681,0.061046686
435,53.847275,0.061267767
436,53.548085,0.060926097
437,53.864874,0.061287865
438,53.653681,0.061046686
439,53.512886,0.0608859
440,53.512886,0.0608859
441,53.477688,0.060845705
442,53.477688,0.060845705
443,53.460088,0.060825606
444,53.495287,0.060865802
445,53.530486,0.060905999
446,53.548085,0.060926097
447,53.512886,0.0608859
448,53.495287,0.060865802
449,53.847275,0.061267767
450,53.864874,0.061287865
451,53.530486,0.060905999
452,53.530486,0.060905999
453,53.759278,0.061167276
454,53.847275,0.061267767
455,53.548085,0.060926097
456,53.794477,0.061207473
457,53.565685,0.060946196
458,53.935272,0.061368258
459,53.864874,0.061287865
460,53.900073,0.061328062
461,53.583284,0.060966294
462,53.900073,0.061328062
463,53.882473,0.061307963
464,53.565685,0.060946196
465,53.952871,0.061388356
466,53.565685,0.060946196
467,53.618483,0.06100649
468,53.864874,0.061287865
469,53.565685,0.060946196
470,53.618483,0.06100649
471,53.583284,0.060966294
472,53.600883,0.060986391
473,53.935272,0.061368258
474,53.97047,0.061408454
475,53.600883,0.060986391
476,53.98807,0.061428553
477,53.636082,0.061026588
478,53.636082,0.061026588
479,54.005669,0.061448651
480,53.952871,0.061388356
481,53.653681,0.061046686
482,53.653681,0.061046686
483,54.216862,0.06168983
484,54.023269,0.06146875
485,53.97047,0.061408454
486,54.005669,0.061448651
487,54.005669,0.061448651
488,54.023269,0.06146875
489,53.68888,0.061086883
490,53.724079,0.061127079
491,53.70648,0.061106981
492,53.653681,0.061046686
493,54.076067,0.061529044
494,53.70648,0.061106981
495,54.093666,0.061549142
496,53.724079,0.061127079
497,53.741678,0.061147177
498,54.023269,0.06146875
499,54.023269,0.06146875
500,54.040868,0.061488847
501,54.146464,0.061609436
502,54.076067,0.061529044
503,53.759278,0.061167276
504,54.181663,0.061649633
505,54.111265,0.06156924
506,53.794477,0.061207473
507,54.076067,0.061529044
508,54.128865,0.061589339
509,54.023269,0.06146875
510,53.829675,0.061247668
511,54.199262,0.061669731
512,53.864874,0.061287865
513,54.216862,0.06168983
514,54.234461,0.061709928
515,53.829675,0.061247668
516,53.864874,0.061287865
517,54.093666,0.061549142
518,53.864874,0.061287865
519,54.199262,0.061669731
520,54.199262,0.061669731
521,54.023269,0.06146875
522,53.900073,0.061328062
523,54.181663,0.061649633
524,53.917672,0.061348159
525,53.900073,0.061328062
526,54.26966,0.061750124
527,53.935272,0.061368258
528,54.287259,0.061770222
529,54.252061,0.061730027
530,53.97047,0.061408454
531,54.234461,0.061709928
532,53.98807,0.061428553
533,53.952871,0.061388356
534,53.98807,0.061428553
535,53.97047,0.061408454
536,54.005669,0.061448651
537,54.023269,0.06146875
538,54.005669,0.061448651
539,54.058467,0.061508945
540,54.040868,0.061488847
541,54.428054,0.061931008
542,54.076067,0.061529044
543,54.428054,0.061931008
544,54.058467,0.061508945
545,54.040868,0.061488847
546,54.480853,0.061991304
547,54.076067,0.061529044
548,54.498452,0.062011402
549,54.128865,0.061589339
550,54.586449,0.062111893
551,54.445654,0.061951107
552,54.128865,0.061589339
553,54.146464,0.061609436
554,54.164064,0.061629535
555,54.463253,0.061971205
556,54.181663,0.061649633
557,54.164064,0.061629535
558,54.199262,0.061669731
559,54.164064,0.061629535
560,54.55125,0.062071696
561,54.55125,0.062071696
562,54.55125,0.062071696
563,54.656846,0.062192285
564,54.586449,0.062111893
565,54.252061,0.061730027
566,54.604048,0.062131991
567,54.26966,0.061750124
568,54.287259,0.061770222
569,54.26966,0.061750124
570,54.304859,0.061790321
571,54.56885,0.062091795
572,54.621648,0.06215209
573,54.304859,0.061790321
574,54.340057,0.061830517
575,54.340057,0.061830517
576,54.656846,0.062192285
577,54.727244,0.062272679
578,54.340057,0.061830517
579,54.357657,0.061850616
580,54.410455,0.06191091
581,54.410455,0.06191091
582,54.410455,0.06191091
583,54.375256,0.061870714
584,54.410455,0.06191091
585,54.727244,0.062272679
586,54.727244,0.062272679
587,54.428054,0.061931008
588,54.445654,0.061951107
589,54.463253,0.061971205
590,54.428054,0.061931008
591,54.674446,0.062212384
592,54.428054,0.061931008
593,54.744843,0.062292776
594,54.498452,0.062011402
595,54.516051,0.062031499
596,54.498452,0.062011402
597,54.516051,0.062031499
598,54.533651,0.062051598
599,55.044033,0.062634447
600,54.85044,0.062413367
601,55.044033,0.062634447
602,54.991235,0.062574153
603,54.692045,0.062232482
604,54.56885,0.062091795
605,54.956036,0.062533956
606,54.604048,0.062131991
607,54.586449,0.062111893
608,54.604048,0.062131991
609,54.604048,0.062131991
610,54.621648,0.06215209
611,54.956036,0.062533956
612,55.008834,0.06259425
613,54.656846,0.062192285
614,55.008834,0.06259425
615,54.674446,0.062212384
616,54.656846,0.062192285
617,54.656846,0.062192285
618,55.044033,0.062634447
619,54.991235,0.062574153
620,54.674446,0.062212384
621,54.692045,0.062232482
622,55.044033,0.062634447
623,54.709645,0.062252581
624,55.026434,0.062614349
625,54.709645,0.062252581
626,54.744843,0.062292776
627,55.13203,0.062734939
628,54.762443,0.062312875
629,55.096831,0.062694742
630,55.13203,0.062734939
631,54.762443,0.062312875
632,55.184828,0.062795233
633,54.780042,0.062332973
634,54.797642,0.062353072
635,54.815241,0.06237317
636,55.079232,0.062674644
637,54.815241,0.06237317
638,54.815241,0.06237317
639,54.815241,0.06237317
640,55.220027,0.06283543
641,55.220027,0.06283543
642,54.83284,0.062393268
643,55.167229,0.062775135
644,55.184828,0.062795233
645,55.184828,0.062795233
646,55.202427,0.062815331
647,55.237626,0.062855528
648,55.202427,0.062815331
649,54.885638,0.062453562
650,55.290424,0.062915822
651,55.272825,0.062895724
652,55.044033,0.062634447
653,55.202427,0.062815331
654,55.308024,0.062935921
655,54.920837,0.062493759
656,55.272825,0.062895724
657,55.255226,0.062875627
658,55.308024,0.062935921
659,55.184828,0.062795233
660,55.096831,0.062694742
661,54.956036,0.062533956
662,55.13203,0.062734939
663,55.343223,0.062976118
664,54.991235,0.062574153
665,54.973635,0.062554054
666,54.991235,0.062574153
667,55.360822,0.062996216
668,55.008834,0.06259425
669,55.378421,0.063016314
670,54.991235,0.062574153
671,55.026434,0.062614349
672,55.008834,0.06259425
673,55.378421,0.063016314
674,55.41362,0.06305651
675,55.325623,0.062956019
676,55.378421,0.063016314
677,55.378421,0.063016314
678,55.448819,0.063096707
679,55.044033,0.062634447
680,55.079232,0.062674644
681,55.325623,0.062956019
682,55.448819,0.063096707
683,55.096831,0.062694742
684,55.061632,0.062654545
685,55.114431,0.062714841
686,55.079232,0.062674644
687,55.642412,0.063317788
688,55.096831,0.062694742
689,55.096831,0.062694742
690,55.114431,0.062714841
691,55.448819,0.063096707
692,55.466418,0.063116805
693,55.484018,0.063136904
694,55.096831,0.062694742
695,55.519216,0.0631771
696,55.13203,0.062734939
697,55.13203,0.062734939
698,55.114431,0.062714841
699,55.448819,0.063096707
700,55.41362,0.06305651
701,55.378421,0.063016314
702,55.448819,0.063096707
703,55.13203,0.062734939
704,55.501617,0.063157002
705,55.167229,0.062775135
706,55.484018,0.063136904
707,55.466418,0.063116805
708,55.167229,0.062775135
709,55.448819,0.063096707
710,55.149629,0.062755036
711,55.149629,0.062755036
712,55.167229,0.062775135
713,55.096831,0.062694742
714,55.167229,0.062775135
715,55.167229,0.062775135
716,55.167229,0.062775135
717,55.536816,0.063197199
718,55.484018,0.063136904
719,55.184828,0.062795233
720,55.536816,0.063197199
721,55.202427,0.062815331
722,55.167229,0.062775135
723,55.184828,0.062795233
724,55.184828,0.062795233
725,55.184828,0.062795233
726,55.167229,0.062775135
727,55.484018,0.063136904
728,55.167229,0.062775135
729,55.536816,0.063197199
730,55.484018,0.063136904
731,55.519216,0.0631771
732,55.167229,0.062775135
733,55.202427,0.062815331
734,55.184828,0.062795233
735,55.202427,0.062815331
736,55.184828,0.062795233
737,55.167229,0.062775135
738,55.184828,0.062795233
739,55.572015,0.063237395
740,55.501617,0.063157002
741,55.572015,0.063237395
742,55.519216,0.0631771
743,55.396021,0.063036413
744,55.519216,0.0631771
745,55.167229,0.062775135
746,55.466418,0.063116805
747,55.149629,0.062755036
748,55.536816,0.063197199
749,55.501617,0.063157002
750,55.184828,0.062795233
751,55.519216,0.0631771
752,55.184828,0.062795233
753,55.466418,0.063116805
754,55.519216,0.0631771
755,55.149629,0.062755036
756,55.184828,0.062795233
757,55.448819,0.063096707
758,55.184828,0.062795233
759,55.466418,0.063116805
760,55.149629,0.062755036
761,55.149629,0.062755036
762,55.13203,0.062734939
763,55.536816,0.063197199
764,55.554415,0.063217296
765,55.167229,0.062775135
766,55.519216,0.0631771
767,55.13203,0.062734939
768,55.448819,0.063096707
769,55.096831,0.062694742
770,55.149629,0.062755036
771,55.448819,0.063096707
772,55.114431,0.062714841
773,55.114431,0.062714841
774,55.519216,0.0631771
775,55.466418,0.063116805
776,55.448819,0.063096707
777,55.114431,0.062714841
778,55.448819,0.063096707
779,55.114431,0.062714841
780,55.448819,0.063096707
781,55.061632,0.062654545
782,55.43122,0.063076609
783,55.114431,0.062714841
784,55.096831,0.062694742
785,55.114431,0.062714841
786,55.43122,0.063076609
787,55.079232,0.062674644
788,55.484018,0.063136904
789,55.396021,0.063036413
790,55.308024,0.062935921
791,55.396021,0.063036413
792,55.396021,0.063036413
793,55.43122,0.063076609
794,55.061632,0.062654545
795,55.41362,0.06305651
796,55.378421,0.063016314
797,55.061632,0.062654545
798,55.114431,0.062714841
799,55.360822,0.062996216
800,55.360822,0.062996216
801,55.026434,0.062614349
802,55.026434,0.062614349
803,55.396021,0.063036413
804,55.008834,0.06259425
805,55.325623,0.062956019
806,55.008834,0.06259425
807,54.991235,0.062574153
808,54.973635,0.062554054
809,55.308024,0.062935921
810,54.973635,0.062554054
811,54.973635,0.062554054
812,55.272825,0.062895724
813,54.956036,0.062533956
814,55.308024,0.062935921
815,54.956036,0.062533956
816,54.973635,0.062554054
817,54.938437,0.062513858
818,54.920837,0.062493759
